"id","lat","longitude","razaosocial"
178600,-16.706747,-43.870469,""
179839,-16.723239,-43.847413,""
179684,-16.707987,-43.845938,""
178711,-16.718233,-43.863143,""
179521,-16.697694,-43.869734,""
178529,-16.688752,-43.879782,""
179285,-16.709272,-43.86533,""
177428,-16.716517,-43.854963,""
178660,-16.693316,-43.852612,""
178556,-16.701221,-43.871668,""
178603,-16.69068,-43.876526,""
179328,-16.722682,-43.843573,""
179111,-16.725687,-43.868782,""
179531,-16.723615,-43.853803,""
178597,-16.699768,-43.872631,""
179102,-16.726375,-43.863351,""
178633,-16.70097,-43.87498,""
179248,-16.670857,-43.852203,""
179141,-16.697302,-43.873769,""
179249,-16.688712,-43.873305,""
177629,-16.705482,-43.853981,""
180116,-16.705065,-43.867873,""
178476,-16.699496,-43.849978,""
180102,-16.699816,-43.850414,""
180172,-16.713367,-43.86855,""
179265,-16.670891,-43.850892,""
179186,-16.717663,-43.86471,""
178604,-16.689827,-43.878512,""
179339,-16.698518,-43.869545,""
177986,-16.700823,-43.870887,""
179804,-16.692179,-43.871887,""
179277,-16.713002,-43.863755,""
179215,-16.722468,-43.863392,""
179189,-16.723474,-43.867793,""
180053,-16.719116,-43.87382,""
179889,-16.721818,-43.861774,""
177538,-16.705284,-43.880266,""
180129,-16.696633,-43.870481,""
180234,-16.722213,-43.862402,""
180301,-16.727275,-43.875717,""
178688,-16.701872,-43.848713,""
178249,-16.703062,-43.877931,""
177999,-16.728316,-43.873209,""
178691,-16.698517,-43.853124,""
180418,-16.671495,-43.85614,""
179492,-16.722505,-43.850445,""
179195,-16.724843,-43.863809,""
179100,-16.724512,-43.865463,""
179163,-16.726099,-43.865901,""
179851,-16.720486,-43.862974,""
179897,-16.724129,-43.864113,""
177498,-16.702609,-43.849874,""
178676,-16.711411,-43.845068,""
178749,-16.700463,-43.847795,""
178285,-16.724825,-43.872215,""
177901,-16.715027,-43.888695,""
179644,-16.710976,-43.864535,""
180358,-16.722361,-43.874028,""
178117,-16.701534,-43.874607,""
177467,-16.708212,-43.856257,""
179242,-16.688605,-43.857309,""
179187,-16.717044,-43.865731,""
179553,-16.703809,-43.880021,""
180023,-16.716809,-43.865516,""
179466,-16.712378,-43.853353,""
178748,-16.703022,-43.866032,""
177346,-16.716566,-43.875845,""
180314,-16.698728,-43.849867,""
180264,-16.717113,-43.885355,""
180159,-16.718843,-43.864492,""
177660,-16.718233,-43.863266,""
180214,-16.677763,-43.876259,""
179735,-16.700072,-43.868805,""
178576,-16.703272,-43.878757,""
180245,-16.704543,-43.871872,""
180306,-16.713265,-43.858397,""
180319,-16.7031,-43.856644,""
178744,-16.713483,-43.853399,""
178233,-16.7021,-43.877815,""
179106,-16.703483,-43.853684,""
179124,-16.723237,-43.867803,""
179179,-16.723559,-43.864504,""
179582,-16.718066,-43.873099,""
178540,-16.685936,-43.877821,""
177446,-16.716807,-43.884306,""
