"TIME", "DISTANCE", "CLIENT_1_EID", "CLIENT_1_LAT", "CLIENT_1_LON", "CLIENT_2_EID", "CLIENT_2_LAT", "CLIENT_2_LON"
0.05880834092, 2.400374106, 4347, -3.721759675, -38.51921, 4326, -3.732328329, -38.51048758
0.0266737749, 1.208226575, 4347, -3.721759675, -38.51921, 4325, -3.7217414, -38.51247
0.07020121518, 2.740107733, 4347, -3.721759675, -38.51921, 4318, -3.736652561, -38.51446058
0.0750087424, 3.594626841, 4347, -3.721759675, -38.51921, 4317, -3.7459671, -38.528343
0.09135120284, 3.922045457, 4347, -3.721759675, -38.51921, 4316, -3.729484588, -38.48877917
0.07496425934, 3.868153283, 4347, -3.721759675, -38.51921, 4315, -3.7493057, -38.52489
0.05227329394, 1.899565291, 4347, -3.721759675, -38.51921, 4314, -3.729859329, -38.51225186
0.1709458994, 7.019657642, 4347, -3.721759675, -38.51921, 4313, -3.740640547, -38.47068693
0.1073823395, 5.065641374, 4347, -3.721759675, -38.51921, 4312, -3.74539852, -38.50354114
0.09310257508, 3.983343484, 4347, -3.721759675, -38.51921, 4308, -3.730926164, -38.49016777
0.05021881426, 2.187789627, 4347, -3.721759675, -38.51921, 4306, -3.7259054, -38.507465
0.1072677814, 4.597076265, 4347, -3.721759675, -38.51921, 4304, -3.749521235, -38.51575219
0.1440812729, 6.062859375, 4347, -3.721759675, -38.51921, 4296, -3.735630134, -38.47246926
0.004019200722, 0.2106720172, 4347, -3.721759675, -38.51921, 4295, -3.7219121, -38.51897
0.08747441258, 3.93785336, 4347, -3.721759675, -38.51921, 4294, -3.7274108, -38.48917
0.09227918506, 3.906562073, 4347, -3.721759675, -38.51921, 4293, -3.7358768, -38.49911
0.09402692418, 4.641534057, 4347, -3.721759675, -38.51921, 4292, -3.753622775, -38.52822942
0.005567288645, 0.2648550943, 4347, -3.721759675, -38.51921, 4291, -3.722009049, -38.51891661
0.08838700508, 4.228880093, 4347, -3.721759675, -38.51921, 4289, -3.7484326, -38.530293
0.0904413028, 3.836185631, 4347, -3.721759675, -38.51921, 4287, -3.734600105, -38.50013744
0.1372531299, 5.866299589, 4347, -3.721759675, -38.51921, 4285, -3.738285228, -38.48229553
0.1078947348, 4.826755786, 4347, -3.721759675, -38.51921, 4283, -3.7374442, -38.492294
0.0251153131, 0.9883470694, 4347, -3.721759675, -38.51921, 4400, -3.719779246, -38.5166849
0.1092852558, 4.511288414, 4347, -3.721759675, -38.51921, 4395, -3.739225, -38.497368
0.04141652579, 1.617742425, 4347, -3.721759675, -38.51921, 4393, -3.7302723, -38.516663
0.1567351386, 6.653765455, 4347, -3.721759675, -38.51921, 4391, -3.740368, -38.475301
0.1069775848, 4.468968826, 4347, -3.721759675, -38.51921, 4390, -3.733193, -38.489241
